2017-05-16/04:20:56  |   | NOTE  | There are 64 EncChannels Init Successfully!

2017-05-16/04:20:56  |   | NOTE  | There are 4 DispChannels Init Successfully!

2017-05-16/04:20:56  |   | NOTE  | Dsp Ver:0650-20130507,Driver Ver:0250-12050700,Sdk Ver:0650-20130507
2017-05-16/04:23:10  | 00  | FAIL  | Channel 00 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 01  | FAIL  | Channel 01 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 02  | FAIL  | Channel 02 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 03  | FAIL  | Channel 03 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 04  | FAIL  | Channel 04 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 05  | FAIL  | Channel 05 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 06  | FAIL  | Channel 06 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 07  | FAIL  | Channel 07 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 08  | FAIL  | Channel 08 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 09  | FAIL  | Channel 09 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 10  | FAIL  | Channel 10 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 11  | FAIL  | Channel 11 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 12  | FAIL  | Channel 12 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 13  | FAIL  | Channel 13 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 14  | FAIL  | Channel 14 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 15  | FAIL  | Channel 15 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 16  | FAIL  | Channel 16 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 17  | FAIL  | Channel 17 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 18  | FAIL  | Channel 18 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 19  | FAIL  | Channel 19 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 20  | FAIL  | Channel 20 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 21  | FAIL  | Channel 21 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 22  | FAIL  | Channel 22 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 23  | FAIL  | Channel 23 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 24  | FAIL  | Channel 24 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 25  | FAIL  | Channel 25 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 26  | FAIL  | Channel 26 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 27  | FAIL  | Channel 27 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 28  | FAIL  | Channel 28 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 29  | FAIL  | Channel 29 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 30  | FAIL  | Channel 30 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 31  | FAIL  | Channel 31 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 32  | FAIL  | Channel 32 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 33  | FAIL  | Channel 33 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 34  | FAIL  | Channel 34 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 35  | FAIL  | Channel 35 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 36  | FAIL  | Channel 36 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 37  | FAIL  | Channel 37 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 38  | FAIL  | Channel 38 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 39  | FAIL  | Channel 39 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 40  | FAIL  | Channel 40 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 41  | FAIL  | Channel 41 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 42  | FAIL  | Channel 42 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 43  | FAIL  | Channel 43 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 44  | FAIL  | Channel 44 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 45  | FAIL  | Channel 45 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 46  | FAIL  | Channel 46 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 47  | FAIL  | Channel 47 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 48  | FAIL  | Channel 48 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 49  | FAIL  | Channel 49 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 50  | FAIL  | Channel 50 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 51  | FAIL  | Channel 51 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 52  | FAIL  | Channel 52 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 53  | FAIL  | Channel 53 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 54  | FAIL  | Channel 54 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 55  | FAIL  | Channel 55 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 56  | FAIL  | Channel 56 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 57  | FAIL  | Channel 57 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 58  | FAIL  | Channel 58 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 59  | FAIL  | Channel 59 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 60  | FAIL  | Channel 60 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 61  | FAIL  | Channel 61 StartVideoPreview failed, ret=c0000011
2017-05-16/04:23:10  | 62  | FAIL  | Channel 62 StartVideoPreview failed, ret=c0000011
